query,model,rank,doc_id,score,term_overlap,term_overlap_ratio,content_snippet,relevan_manual
ppkm darurat warga negara asing dilarang masuk,TF-IDF,9,7886,0.3142512776625906,5,0.7142857142857143,"  Direktorat Jenderal (Ditjen) Imigrasi Kementerian Hukum dan Hak Asasi Manusia (Kemenkumham) menyebutkan, 34 tenaga kerja asing (TKA) asal China yang masuk ke Indonesia pada Sabtu (7/8) sudah mengant",
ppkm darurat warga negara asing dilarang masuk,TF-IDF,10,11203,0.3094204430020781,5,0.7142857142857143,  Kepala Kantor Wilayah Kementerian Hukum dan HAM (Kemenkumham) Bali Jamaruli Manihuruk menegaskan pihaknya akan langsung mendeportasi warga negara asing (WNA) yang melanggar protokol kesehatan (proke,
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),1,0,0.8960985457242153,6,0.8571428571428571,"Pemerintah melalui Menteri Hukum dan Hak Asasi Manusia atau Menkumham Yasonna H Laoly memperluas pembatasan terhadap warga negara asing alias WNA yang boleh masuk wilayah Indonesia. Terutama, melarang",
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),2,1236,0.8730343882115603,4,0.5714285714285714,Pemerintah memutuskan melarang Tenaga Kerja Asing (TKA) masuk ke Indonesia selama Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM). Pelarangan itu termasuk bagi TKA di proyek strategis nasional. Wak,
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),3,3740,0.8716500614031742,4,0.5714285714285714,"Anggota Komisi IX DPR RI, Rahmad Handoyo mengapresiasi keputusan pemerintah terkait pembatasan tenaga kerja asing (TKA) masuk ke wilayah Indonesia di tengah lonjakan kasus Covid-19. Menurut dia, kebij",
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),4,4350,0.8672776127991311,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),5,4356,0.8647893218017499,5,0.7142857142857143,Kebijakan pelarangan Tenaga Kerja Asing (TKA) masuk Indonesia selama Pemberlakukan Pembatasan kegiatan Masyarakat (PPKM) tidak akan berjalan efektif. Hal tersebut karena masih ada pengecualian-pengecu,
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),6,4380,0.8628270398136502,4,0.5714285714285714, Pemerintah melarang orang asing termasuk pekerja asing masuk ke wilayah Indonesia. Larangan berlaku mulai 21 Juli 2021 namun ada masa tenggang selama 2 hari untuk sosialisasi dan koordinasi. Menteri ,
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),7,11374,0.861755904090149,3,0.42857142857142855,"  Gubernur Bali Wayan Koster mengaku, setiap ada kejadian di Bali yang melanggar Protokol Kesehatan (Protkes) selalu mendapatkan teguran dari para menteri di Jakarta. Terutama, pelanggaran prokes yang",
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),8,3026,0.8609164700214451,6,0.8571428571428571,"Wakil Ketua MPR Zulkifli Hasan alias Zulhas menyampaikan bahwa penerapan PPKM Darurat di Jawa dan Bali merupakan langkah pemerintah yang mesti didukung semua pihak. Hanya saja, dia menyoroti kabar mas",
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),9,4374,0.8608245722141463,4,0.5714285714285714, Pemerintah melarang orang asing termasuk pekerja asing masuk ke Indonesia mulai 21 Juli 2021. Larangan berlaku seiring pemberlakuan pembatasan yang saat ini disebut PPKM Level 3 dan PPKM Level 4. Nam,
ppkm darurat warga negara asing dilarang masuk,Word2Vec (TF-IDF weighted),10,11375,0.8590876678570138,5,0.7142857142857143,"  Seorang perempuan Warga Negara Asing (WNA) asal Rusia, Leia Se (25), yang melukis wajahnya menyerupai masker untuk mengelabui petugas keamanan, akhirnya dideportasi Imigrasi Bali. Dia dikembalikan k",
ppkm darurat warga negara asing dilarang masuk,QL (No Smoothing),1,3337,-30.283445945981768,7,1.0," Hoaks seputar Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat beredar di media sosial dengan beragam bentuk, salah satunya ada video. Biasanya, informasi palsu tersebut dikemas dengan kete",
ppkm darurat warga negara asing dilarang masuk,QL (No Smoothing),2,4355,-30.48503241879971,7,1.0," Pengamat Kebijakan Publik Trubus Rahadiansyah mengatakan, Indonesia bisa mencontoh negara Selandia Baru dalam penanganan pandemi covid-19. Disana pembatasan kegiatan masyarakat benar-benar ketat. “Ya",
ppkm darurat warga negara asing dilarang masuk,QL (No Smoothing),3,10256,-31.014045341050466,7,1.0,  Kantor Imigrasi Kelas 1 Khusus Bandara Soekarno-Hatta (Soetta) menolak masuk kedatangan 19 warga negara asing (WNA) ke Indonesia melalui Bandara Soekarno-Hatta selama sepekan pemberlakuan PPKM Darur,
ppkm darurat warga negara asing dilarang masuk,QL (No Smoothing),4,4350,-32.54940709861668,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),1,4350,-62.37690440031237,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),2,3337,-67.32687572130419,7,1.0," Hoaks seputar Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat beredar di media sosial dengan beragam bentuk, salah satunya ada video. Biasanya, informasi palsu tersebut dikemas dengan kete",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),3,3370,-69.00258772803411,6,0.8571428571428571," Informasi hoaks semakin banyak beredar di media sosial dengan bergam bentuknya, dalam sepekan informasi yang beredar tersebut dari seputar  Penerapan Pembatasan Kegiatan Masyarakat (PPKM) Darurat hin",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),4,3392,-69.516906728433,6,0.8571428571428571," Cek Fakta Liputan6.com mendapati klaim video Warga Negara Asing (WNA) masuk Indonesia lewat Bandara Soekarno-Hatta (Soetta) saat PPKM darurat. Klaim tersebut diunggah oleh akun Video In the word, pad",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),5,5229,-69.90006255205746,6,0.8571428571428571,  Pemerintah belum menutup pintu perjalanan internasional di tengah penyelenggaraan PPKM Darurat. Masuknya warga negara asing (WNA) ke Indonesia dinilai menimbulkan kecemburuan di masyarakat. Sebab it,
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),6,4458,-69.93443321562724,5,0.7142857142857143,"Pandemi covid-19 belum juga mereda. Bahkan di Indonesia jumlah kasus positif terus melonjak dan mencetak rekor baru. Pemerintah pun menyiapkan beberapa skenario untuk menahan laju penyebaran, salah sa",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),7,1384,-70.18865904201283,6,0.8571428571428571,Sejumlah imbauan dikeluarkan jelang Hari Raya Idul Adha 1442 Hijriah yang jatuh pada Selasa 20 Juli 2021. Imbauan ini dikeluarkan mengingat kasus Covid-19 di Indonesia yang masih tinggi. Salah satunya,
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),8,1370,-70.60803567343889,5,0.7142857142857143,"Penerapan Pembatasan Kegiatan Masyarakat atau PPKM Darurat telah berakhir pada Selasa 20 Juli 2021. Namun, Pemerintah telah resmi memperpanjangnya hingga 25 Juli 2021 mendatang. Pro dan kontra pun ber",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),9,3670,-70.84177466456165,6,0.8571428571428571,"Penerapan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat berpengaruh terhadap jumlah penumpang di Bandara Internasional Soekarno Hatta, Tangerang. Tercatat, pada Senin, 5 Juli 2021, jumlah",
ppkm darurat warga negara asing dilarang masuk,QL (Laplace),10,13571,-70.98867181558249,6,0.8571428571428571,"  Pemerintah telah memberlakukan pemberlakuan pembatasan kegiatan masyarakat (PPKM) darurat di Pulau Jawa dan Bali sejak 3-20 Juli 2021, menekan laju penyebaran Covid-19. Hal ini juga ditindaklanjuti ",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),1,3337,-34.32529146599308,7,1.0," Hoaks seputar Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat beredar di media sosial dengan beragam bentuk, salah satunya ada video. Biasanya, informasi palsu tersebut dikemas dengan kete",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),2,4355,-34.46150341680367,7,1.0," Pengamat Kebijakan Publik Trubus Rahadiansyah mengatakan, Indonesia bisa mencontoh negara Selandia Baru dalam penanganan pandemi covid-19. Disana pembatasan kegiatan masyarakat benar-benar ketat. “Ya",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),3,10256,-35.013898495974644,7,1.0,  Kantor Imigrasi Kelas 1 Khusus Bandara Soekarno-Hatta (Soetta) menolak masuk kedatangan 19 warga negara asing (WNA) ke Indonesia melalui Bandara Soekarno-Hatta selama sepekan pemberlakuan PPKM Darur,
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),4,4350,-36.085162275353156,7,1.0," Masuknya Tenaga Kerja Asing (TKA) ke Indonesia terus menjadi sorotan masyarakat. Sebut saja ketika 20 orang pekerja asing asal China dikabarkan masuk ke Indonesia melalui Bandara Sultan Hasanuddin, M",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),5,0,-36.19906034464531,6,0.8571428571428571,"Pemerintah melalui Menteri Hukum dan Hak Asasi Manusia atau Menkumham Yasonna H Laoly memperluas pembatasan terhadap warga negara asing alias WNA yang boleh masuk wilayah Indonesia. Terutama, melarang",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),6,4356,-36.903014615008075,5,0.7142857142857143,Kebijakan pelarangan Tenaga Kerja Asing (TKA) masuk Indonesia selama Pemberlakukan Pembatasan kegiatan Masyarakat (PPKM) tidak akan berjalan efektif. Hal tersebut karena masih ada pengecualian-pengecu,
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),7,3026,-37.18643533189286,6,0.8571428571428571,"Wakil Ketua MPR Zulkifli Hasan alias Zulhas menyampaikan bahwa penerapan PPKM Darurat di Jawa dan Bali merupakan langkah pemerintah yang mesti didukung semua pihak. Hanya saja, dia menyoroti kabar mas",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),8,5229,-37.58595436284218,6,0.8571428571428571,  Pemerintah belum menutup pintu perjalanan internasional di tengah penyelenggaraan PPKM Darurat. Masuknya warga negara asing (WNA) ke Indonesia dinilai menimbulkan kecemburuan di masyarakat. Sebab it,
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),9,3392,-37.64376119944744,6,0.8571428571428571," Cek Fakta Liputan6.com mendapati klaim video Warga Negara Asing (WNA) masuk Indonesia lewat Bandara Soekarno-Hatta (Soetta) saat PPKM darurat. Klaim tersebut diunggah oleh akun Video In the word, pad",
ppkm darurat warga negara asing dilarang masuk,QL (Linear Interpolation),10,3387,-37.66927575428303,6,0.8571428571428571,"Di tengah pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat untuk menekan lonjakan kasus Covid-19 di wilayah Jawa dan Bali, beredar video yang diklaim Warga Negara Asing (WNA) masuk Indonesia",
olimpiade tokyo bulu tangkis indonesia medali,TF,1,1,0.7324591117359136,6,1.0,"Bulu Tangkis menjadi andalan Indonesia berburu medali di Olimpiade Tokyo 2020. Cabang olahraga atau cabor ini digelar pada 24 Juli hingga 2 Agustus 2021. Tidak tanggung-tanggung, dari 28 atlet Indones",
olimpiade tokyo bulu tangkis indonesia medali,TF,2,4318,0.5371537556661289,5,0.8333333333333334, Para atlet bulu tangkis Indonesia sebentar lagi akan turun bertanding di Olimpiade 2020 di Tokyo Jepang. Jonatan Christie dan kawan-kawan sudah terbang ke Jepang untuk menjalani training camp di Pref,
olimpiade tokyo bulu tangkis indonesia medali,TF,3,1988,0.48012876093330564,6,1.0,Atlet Indonesia yang meraih medali di Olimpiade Tokyo 2020 bakal mendapatkan bonus dari dari CEO J99 Corp (Juragan 99) Gilang Widya Pramana. Sosok yang dikenal sebagai Crazy Rich Malang itu ingin memb,
olimpiade tokyo bulu tangkis indonesia medali,TF,4,1195,0.4630392641385862,5,0.8333333333333334,"Tim bulu tangkis Indonesia yang akan berlaga pada Olimpiade Tokyo 2020 telah bergabung dengan kontingen Merah Putih di perkampungan atlet, Senin (19/7/2021). Pasukan tepok bulu ini disambut langsung o",
olimpiade tokyo bulu tangkis indonesia medali,TF,5,12912,0.4629380025477479,6,1.0,"  Olimpiade Tokyo 2020 baru saja berakhir, namun keseruannya masih membekas. Pesta olahraga empat tahunan ini memang dinikmati oleh seluruh masyarakat di dunia, tak terkecuali Indonesia. Andi Mallaran",
olimpiade tokyo bulu tangkis indonesia medali,TF,6,1979,0.4589312896650156,6,1.0,"Pertama kali mengikuti Olimpiade pada 1952 di Helsinki, Finlandia, Indonesia harus menunggu cukup lama untuk merasakan kenikmatan naik podium. Momen yang ditunggu akhirnya datang pada Seoul 1988. Trio",
olimpiade tokyo bulu tangkis indonesia medali,TF,7,979,0.45833333333333337,6,1.0, Menteri BUMN sekaligus Anggota International Olympic Committee (IOC) Erick Thohir memberikan semangat kepada para atlet Merah Putih yang saat ini tengah berlaga di Olimpiade Tokyo 2020. Indonesia men,
olimpiade tokyo bulu tangkis indonesia medali,TF,8,1972,0.4513354669242201,4,0.6666666666666666,"Olimpiade Tokyo 2020 berlangsung pada 23 Juli hingga 8 Agustus 2021. Indonesia ikut serta. Para atlet kontingen Merah Putih berburu medali. Secara bertahap mereka tiba di Tokyo, Jepang. Protokol keseh",
olimpiade tokyo bulu tangkis indonesia medali,TF,9,12957,0.4343381386236738,6,1.0,  Sejumlah atlet cabang bulu tangkis Indonesia berlaga di Olimpiade Tokyo pada Rabu (28/7). Seluruh laga Timnas Badminton Indonesia tersebut disiarkan secara live sejak pagi hari oleh Indosiar. Laga d,
olimpiade tokyo bulu tangkis indonesia medali,TF,10,12968,0.41385525902751724,6,1.0,"  Masyarakat Indonesia menaruh harapan tinggi pada Kontingen Bulu Tangkis di ajang Olimpiade Tokyo 2020. Hingga Senin (26/7), perjuangan Kontingen Bulu Tangkis Indonesia masih berjalan mulus sesuai ek",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,1,1,0.708629557660893,6,1.0,"Bulu Tangkis menjadi andalan Indonesia berburu medali di Olimpiade Tokyo 2020. Cabang olahraga atau cabor ini digelar pada 24 Juli hingga 2 Agustus 2021. Tidak tanggung-tanggung, dari 28 atlet Indones",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,2,4318,0.4608568366535229,5,0.8333333333333334, Para atlet bulu tangkis Indonesia sebentar lagi akan turun bertanding di Olimpiade 2020 di Tokyo Jepang. Jonatan Christie dan kawan-kawan sudah terbang ke Jepang untuk menjalani training camp di Pref,
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,3,12912,0.43799462580500226,6,1.0,"  Olimpiade Tokyo 2020 baru saja berakhir, namun keseruannya masih membekas. Pesta olahraga empat tahunan ini memang dinikmati oleh seluruh masyarakat di dunia, tak terkecuali Indonesia. Andi Mallaran",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,4,1972,0.4305753534319178,4,0.6666666666666666,"Olimpiade Tokyo 2020 berlangsung pada 23 Juli hingga 8 Agustus 2021. Indonesia ikut serta. Para atlet kontingen Merah Putih berburu medali. Secara bertahap mereka tiba di Tokyo, Jepang. Protokol keseh",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,5,1195,0.3927316394450836,5,0.8333333333333334,"Tim bulu tangkis Indonesia yang akan berlaga pada Olimpiade Tokyo 2020 telah bergabung dengan kontingen Merah Putih di perkampungan atlet, Senin (19/7/2021). Pasukan tepok bulu ini disambut langsung o",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,6,979,0.38531714339411083,6,1.0, Menteri BUMN sekaligus Anggota International Olympic Committee (IOC) Erick Thohir memberikan semangat kepada para atlet Merah Putih yang saat ini tengah berlaga di Olimpiade Tokyo 2020. Indonesia men,
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,7,1988,0.3829118798691208,6,1.0,Atlet Indonesia yang meraih medali di Olimpiade Tokyo 2020 bakal mendapatkan bonus dari dari CEO J99 Corp (Juragan 99) Gilang Widya Pramana. Sosok yang dikenal sebagai Crazy Rich Malang itu ingin memb,
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,8,1194,0.3784241501113326,6,1.0,Indonesia mengirimkan tujuh wakil ke cabang bulu tangkis Olimpiade Tokyo 2020. Pertandingan tepok bulu ini akan berlangsung mulai 24 Juli hingga 2 Agustus 2021. Para pebulu tangkis Indonesia bertekad ,
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,9,4314,0.3736839189341809,2,0.3333333333333333," Olimpiade 2020 sebentar lagi akan dimulai. Ajang empat tahunan itu rencananya akan digelar mulai 23 Juli 2021 sampai 8 Agustus 2021 di Tokyo, Jepang. Penyelenggaraan Olimpiade 2020 terpaksa mundur sa",
olimpiade tokyo bulu tangkis indonesia medali,TF-IDF,10,4304,0.3721980029140619,3,0.5," Olimpiade 2020 sebentar lagi akan dimulai setelah ditunda selama satu tahun. Berbicara Olimpiade, tentu nama perenang Amerika Serikat Michael Phelps akan selalu dibicarakan. Phelps merupakan atlet te",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),1,1,0.9886394636690852,6,1.0,"Bulu Tangkis menjadi andalan Indonesia berburu medali di Olimpiade Tokyo 2020. Cabang olahraga atau cabor ini digelar pada 24 Juli hingga 2 Agustus 2021. Tidak tanggung-tanggung, dari 28 atlet Indones",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),2,35,0.9523691071774593,3,0.5," Mantan pelari dunia, Usain Bolt, mengaku kecewa dengan perkembangan sprint putra Jamaika sejak ia pensiun. Bolt memperkirakan rekan senegaranya akan kesulitan di Olimpiade Tokyo 2020 setelah dominasi",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),3,12912,0.950929919514802,6,1.0,"  Olimpiade Tokyo 2020 baru saja berakhir, namun keseruannya masih membekas. Pesta olahraga empat tahunan ini memang dinikmati oleh seluruh masyarakat di dunia, tak terkecuali Indonesia. Andi Mallaran",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),4,9953,0.9497300732942482,4,0.6666666666666666,"  Pasangan ganda putri andalan Indonesia, Greysia Polii dan Apriyani Rahayu sukses meraih medali emas Olimpiade Tokyo 2020. Bertanding di Musashino Forest Plaza, Tokyo, keduanya berhasil mengalahkan p",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),5,12,0.9323765313866426,6,1.0," Indonesia gagal meraih hasil terbaik di cabang olah raga (cabor) menembak Olimpiade Tokyo 2020. Atlet menembak putri Indonesia, Vidya Rafika Toyyiba, yang tampil di 10 meter air rifle gagal lolos ke ",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),6,12957,0.9322202826450463,6,1.0,  Sejumlah atlet cabang bulu tangkis Indonesia berlaga di Olimpiade Tokyo pada Rabu (28/7). Seluruh laga Timnas Badminton Indonesia tersebut disiarkan secara live sejak pagi hari oleh Indosiar. Laga d,
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),7,4285,0.9263974830227828,3,0.5," Indonesia dipastikan gagal menjadi tuan rumah Olimpiade 2032. Komite Olimpiade Internasional (IOC) pada Rabu (21/7/2021) mengumumkan Brisbane, Australia, yang akan menggelar Olimpiade 2032. Terpilihn",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),8,2011,0.9163468442020701,3,0.5,"Setelah melakoni tujuh edisi Olimpiade, penantian Indonesia berakhir di Seoul 1988. Kontingen Garuda akhirnya merebut medali. Adalah Nurfitriyana Saiman, Kusuma Wardhani, dan Lilies Handayani yang mem",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),9,12968,0.9160329082362703,6,1.0,"  Masyarakat Indonesia menaruh harapan tinggi pada Kontingen Bulu Tangkis di ajang Olimpiade Tokyo 2020. Hingga Senin (26/7), perjuangan Kontingen Bulu Tangkis Indonesia masih berjalan mulus sesuai ek",
olimpiade tokyo bulu tangkis indonesia medali,Word2Vec (TF-IDF weighted),10,1979,0.9106666005796438,6,1.0,"Pertama kali mengikuti Olimpiade pada 1952 di Helsinki, Finlandia, Indonesia harus menunggu cukup lama untuk merasakan kenikmatan naik podium. Momen yang ditunggu akhirnya datang pada Seoul 1988. Trio",
olimpiade tokyo bulu tangkis indonesia medali,QL (No Smoothing),1,1,-18.239142348540273,6,1.0,"Bulu Tangkis menjadi andalan Indonesia berburu medali di Olimpiade Tokyo 2020. Cabang olahraga atau cabor ini digelar pada 24 Juli hingga 2 Agustus 2021. Tidak tanggung-tanggung, dari 28 atlet Indones",
olimpiade tokyo bulu tangkis indonesia medali,QL (No Smoothing),2,1988,-23.208231873582303,6,1.0,Atlet Indonesia yang meraih medali di Olimpiade Tokyo 2020 bakal mendapatkan bonus dari dari CEO J99 Corp (Juragan 99) Gilang Widya Pramana. Sosok yang dikenal sebagai Crazy Rich Malang itu ingin memb,
olimpiade tokyo bulu tangkis indonesia medali,QL (No Smoothing),3,12957,-24.440747617794447,6,1.0,  Sejumlah atlet cabang bulu tangkis Indonesia berlaga di Olimpiade Tokyo pada Rabu (28/7). Seluruh laga Timnas Badminton Indonesia tersebut disiarkan secara live sejak pagi hari oleh Indosiar. Laga d,
